time,setpoint,response,error
2.6006,2.865631,-0.043102,2.908733
2.6350,2.865631,-0.043102,2.908733
2.6821,2.865631,-0.043102,2.908733
2.7003,2.865631,-0.045273,2.910904
2.7511,2.865631,-0.045273,2.910904
2.7522,2.865631,-0.045273,2.910904
2.7971,2.865631,-0.045273,2.910904
2.8001,2.865631,-0.062013,2.927644
2.8379,2.865631,-0.062013,2.927644
2.8766,2.865631,-0.062013,2.927644
2.9005,2.865631,-0.069447,2.935079
2.9161,2.865631,-0.069447,2.935079
2.9556,2.865631,-0.069447,2.935079
2.9977,2.865631,-0.069447,2.935079
2.9997,2.865631,-0.071777,2.937409
3.0355,2.865631,-0.071777,2.937409
3.0791,2.865631,-0.071777,2.937409
3.1006,2.865631,-0.081815,2.947446
3.1199,2.865631,-0.081815,2.947446
3.1626,2.865631,-0.081815,2.947446
3.2003,2.865631,-0.077219,2.942851
3.2022,2.865631,-0.077219,2.942851
3.2486,2.865631,-0.077219,2.942851
3.2946,2.865631,-0.077219,2.942851
3.2997,2.865631,-0.078568,2.944200
3.3436,2.865631,-0.078568,2.944200
3.3884,2.865631,-0.078568,2.944200
3.4003,2.865631,-0.093360,2.958991
3.4478,2.865631,-0.093360,2.958991
3.4986,2.865631,-0.093360,2.958991
3.5004,2.865631,-0.099062,2.964693
3.5021,2.865631,-0.099062,2.964693
3.5529,2.865631,-0.099062,2.964693
3.5540,2.865631,-0.099062,2.964693
3.6005,2.865631,-0.107216,2.972847
3.6043,2.865631,-0.107216,2.972847
3.6555,2.865631,-0.107216,2.972847
3.6649,2.865631,-0.107216,2.972847
3.7010,2.865631,-0.114838,2.980469
3.7122,2.865631,-0.114838,2.980469
3.7630,2.865631,-0.114838,2.980469
3.7766,2.865631,-0.114838,2.980469
3.8007,2.865631,-0.109057,2.974689
3.8280,2.865631,-0.109057,2.974689
3.8791,2.865631,-0.109057,2.974689
3.8793,2.865631,-0.109057,2.974689
3.9005,2.865631,-0.106492,2.972123
3.9376,2.865631,-0.106492,2.972123
3.9875,2.865631,-0.106492,2.972123
4.0005,2.865631,-0.096954,2.962586
4.0370,2.865631,-0.096954,2.962586
4.0880,2.865631,-0.096954,2.962586
4.0958,2.865631,-0.096954,2.962586
4.1021,2.865631,-0.097670,2.963301
4.1477,2.865631,-0.097670,2.963301
4.1990,2.865631,-0.097670,2.963301
4.2019,2.865631,-0.100265,2.965896
4.2034,2.865631,-0.100265,2.965896
4.2542,2.865631,-0.100265,2.965896
4.2654,2.865631,-0.100265,2.965896
4.3006,2.865631,-0.095029,2.960660
4.3166,2.865631,-0.095029,2.960660
4.3675,2.865631,-0.095029,2.960660
4.3744,2.865631,-0.095029,2.960660
4.4001,2.865631,-0.086189,2.951820
4.4273,2.865631,-0.086189,2.951820
4.4781,2.865631,-0.086189,2.951820
4.4951,2.865631,-0.086189,2.951820
4.4996,2.865631,-0.078461,2.944093
4.5482,2.865631,-0.078461,2.944093
4.5990,2.865631,-0.078461,2.944093
4.6005,2.865631,-0.080385,2.946016
4.6106,2.865631,-0.080385,2.946016
4.6614,2.865631,-0.080385,2.946016
4.6625,2.865631,-0.080385,2.946016
4.7006,2.865631,-0.070203,2.935834
4.7120,2.865631,-0.070203,2.935834
4.7628,2.865631,-0.070203,2.935834
4.7701,2.865631,-0.070203,2.935834
4.7998,2.865631,-0.069708,2.935339
4.8261,2.865631,-0.069708,2.935339
4.8770,2.865631,-0.069708,2.935339
4.8881,2.865631,-0.069708,2.935339
4.8996,2.865631,-0.059301,2.924932
4.9448,2.865631,-0.059301,2.924932
4.9956,2.865631,-0.059301,2.924932
4.9999,2.865631,-0.059301,2.924932
5.0020,2.865631,-0.051656,2.917287
5.0523,2.865631,-0.051656,2.917287
5.1013,2.865631,0.008255,2.857376
5.1056,2.865631,0.008255,2.857376
5.1566,2.865631,0.008255,2.857376
5.1599,2.865631,0.008255,2.857376
5.2006,2.865631,-0.031250,2.896881
5.2077,2.865631,-0.031250,2.896881
5.2586,2.865631,-0.031250,2.896881
5.2670,2.865631,-0.031250,2.896881
5.3007,2.865631,-0.071856,2.937487
5.3190,2.865631,-0.071856,2.937487
5.3698,2.865631,-0.071856,2.937487
5.3762,2.865631,-0.071856,2.937487
5.4004,2.865631,-0.129504,2.995135
5.4241,2.865631,-0.129504,2.995135
5.4725,2.865631,-0.129504,2.995135
5.5006,2.865631,-0.151369,3.017000
5.5323,2.865631,-0.151369,3.017000
5.5831,2.865631,-0.151369,3.017000
5.5861,2.865631,-0.151369,3.017000
5.6003,2.865631,-0.196862,3.062493
5.6358,2.865631,-0.196862,3.062493
5.6867,2.865631,-0.196862,3.062493
5.7006,2.865631,-0.280192,-3.137363
5.7103,2.865631,-0.280192,-3.137363
5.7600,2.865631,-0.280192,-3.137363
5.8007,2.865631,-3.082808,-0.334746
5.8197,2.865631,-3.082808,-0.334746
5.8678,2.865631,-3.082808,-0.334746
5.9006,2.865631,3.113379,-0.247747
5.9253,2.865631,3.113379,-0.247747
5.9747,2.865631,3.113379,-0.247747
6.0013,2.865631,3.085677,-0.220046
6.0245,2.865631,3.085677,-0.220046
6.0757,2.865631,3.085677,-0.220046
6.0822,2.865631,3.085677,-0.220046
6.0997,2.865631,3.076232,-0.210600
6.1265,2.865631,3.076232,-0.210600
6.1732,2.865631,3.076232,-0.210600
6.2005,2.865631,3.070934,-0.205302
6.2326,2.865631,3.070934,-0.205302
6.2787,2.865631,3.070934,-0.205302
6.3006,2.865631,3.062918,-0.197287
6.3346,2.865631,3.062918,-0.197287
6.3807,2.865631,3.062918,-0.197287
6.4013,2.865631,3.057491,-0.191859
6.4427,2.865631,3.057491,-0.191859
6.4911,2.865631,3.057491,-0.191859
6.4999,2.865631,3.053931,-0.188300
6.5506,2.865631,3.053931,-0.188300
6.5517,2.865631,3.053931,-0.188300
6.6003,2.865631,3.049780,-0.184149
6.6006,2.865631,3.049780,-0.184149
6.6514,2.865631,3.049780,-0.184149
6.6552,2.865631,3.049780,-0.184149
6.7018,2.865631,3.040933,-0.175302
6.7053,2.865631,3.040933,-0.175302
6.7561,2.865631,3.040933,-0.175302
6.7582,2.865631,3.040933,-0.175302
6.8012,2.865631,3.043340,-0.177709
6.8094,2.865631,3.043340,-0.177709
6.8570,2.865631,3.043340,-0.177709
6.9016,2.865631,3.053541,-0.187910
6.9086,2.865631,3.053541,-0.187910
6.9597,2.865631,3.053541,-0.187910
6.9760,2.865631,3.053541,-0.187910
6.9999,2.865631,3.056086,-0.190454
7.0294,2.865631,3.056086,-0.190454
7.0802,2.865631,3.056086,-0.190454
7.0934,2.865631,3.056086,-0.190454
7.0993,2.865631,3.066009,-0.200378
7.1425,2.865631,3.066009,-0.200378
7.1919,2.865631,3.066009,-0.200378
